,Symbol,Name,Price,Change,% Change,Market Cap,Total Volume,Circulating Supply
0,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
1,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
2,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
3,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
4,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
5,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
6,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
7,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
8,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
9,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
10,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
11,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
12,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
13,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
14,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
15,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
16,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
17,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
18,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
19,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
20,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
21,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
22,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
23,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
24,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
25,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
26,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
27,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
28,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
29,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
30,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
31,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
32,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
33,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
34,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
35,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
36,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
37,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
38,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
39,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
40,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
41,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
42,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
43,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
44,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
45,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
46,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
47,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
48,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
49,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
50,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
51,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
52,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
53,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
54,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
55,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
56,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
57,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
58,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
59,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
60,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
61,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
62,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
63,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
64,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
65,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
66,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
67,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
68,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
69,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
70,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
71,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
72,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
73,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
74,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
75,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
76,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
77,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
78,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
79,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
80,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
81,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
82,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
83,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
84,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
85,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
86,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
87,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
88,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
89,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
90,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
91,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
92,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
93,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
94,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
95,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
96,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
97,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
98,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
99,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
100,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
101,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
102,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
103,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
104,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
105,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
106,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
107,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
108,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
109,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
110,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
111,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
112,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
113,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
114,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
115,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
116,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
117,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
118,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
119,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
120,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
121,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
122,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
123,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
124,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
125,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
126,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
127,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
128,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
129,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
130,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
131,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
132,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
133,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
134,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
135,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
136,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
137,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
138,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
139,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
140,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
141,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
142,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
143,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
144,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
145,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
146,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
147,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
148,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
149,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
150,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
151,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
152,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
153,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
154,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
155,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
156,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
157,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
158,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
159,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
160,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
161,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
162,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
163,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
164,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
165,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
166,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
167,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
168,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
169,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
170,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
171,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
172,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
173,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
174,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
175,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
176,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
177,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
178,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
179,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
180,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
181,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
182,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
183,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
184,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
185,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
186,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
187,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
188,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
189,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
190,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
191,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
192,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
193,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
194,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
195,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
196,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
197,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
198,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
199,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
200,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
201,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
202,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
203,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
204,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
205,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
206,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
207,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
208,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
209,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
210,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
211,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
212,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
213,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
214,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
215,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
216,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
217,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
218,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
219,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
220,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
221,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
222,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
223,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
224,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
225,BTC-USD,Bitcoin USD,"27,310.34",+739.67,+2.78%,532.26B,11.84B,11.84B
226,ETH-USD,Ethereum USD,"1,661.01",+30.44,+1.87%,199.695B,5.103B,5.103B
227,USDT-USD,Tether USDt USD,1.0005,+0.0001,+0.01%,83.081B,19.358B,19.358B
228,BNB-USD,BNB USD,219.62,+4.52,+2.10%,33.788B,624.15M,624.15M
229,XRP-USD,XRP USD,0.501538,+0.003784,+0.76%,26.67B,763.494M,763.494M
230,USDC-USD,USD Coin USD,1.0001,-0.0002,-0.02%,26.163B,2.677B,2.677B
231,STETH-USD,Lido Staked ETH USD,"1,655.04",+22.18,+1.36%,14.345B,5.639M,5.639M
232,ADA-USD,Cardano USD,0.253906,+0.003635,+1.45%,8.914B,113.014M,113.014M
233,DOGE-USD,Dogecoin USD,0.062572,+0.000314,+0.50%,8.826B,195.765M,195.765M
234,TON11419-USD,Toncoin USD,2.4650,+0.0816,+3.42%,8.46B,48.214M,48.214M
235,WTRX-USD,Wrapped TRON USD,0.082912,+0.000145,+0.18%,8.43B,"298,579","298,579"
236,SOL-USD,Solana USD,19.83,+0.79,+4.13%,8.158B,236.222M,236.222M
237,TRX-USD,TRON USD,0.084541,+0.000863,+1.03%,7.539B,160.816M,160.816M
238,DAI-USD,Dai USD,0.999858,-0.000035,-0.00%,5.347B,81.554M,81.554M
239,DOT-USD,Polkadot USD,4.2002,+0.0745,+1.80%,5.143B,100.417M,100.417M
240,MATIC-USD,Polygon USD,0.532281,+0.008104,+1.55%,4.961B,206.638M,206.638M
241,LTC-USD,Litecoin USD,67.18,+3.08,+4.81%,4.949B,341.515M,341.515M
242,WBTC-USD,Wrapped Bitcoin USD,"27,309.56",+731.64,+2.75%,4.451B,104.658M,104.658M
243,BCH-USD,Bitcoin Cash USD,222.97,+10.57,+4.98%,4.35B,256.601M,256.601M
244,SHIB-USD,Shiba Inu USD,0.00000736,+0.00000007,+0.93%,4.339B,82.889M,82.889M
245,LINK-USD,Chainlink USD,6.7696,+0.5671,+9.14%,3.77B,289.949M,289.949M
246,LEO-USD,UNUS SED LEO USD,3.6759,-0.0066,-0.18%,3.416B,"722,020","722,020"
247,AVAX-USD,Avalanche USD,9.2693,+0.0317,+0.34%,3.281B,126.443M,126.443M
248,XLM-USD,Stellar USD,0.118592,+0.001214,+1.03%,3.266B,55.512M,55.512M
249,WKAVA-USD,Wrapped Kava USD,6.2532,-0.0450,-0.72%,3.112B,216,216
